longlat,lat,neighbourhoodgroup,neighbourhood,roomtype,price,minimumnights,numberofreviews,lastreview,reviewspermonth,calculatedhostlistingscount,availability365,numcalls,zip,ASSAULT3&RELATEDOFFENSES,BURGLARY,CRIMINALMISCHIEF&RELATEDOF,CRIMINALTRESPASS,DANGEROUSDRUGS,DANGEROUSWEAPONS,FELONYASSAULT,FORGERY,FRAUDS,GRANDLARCENY,GRANDLARCENYOFMOTORVEHICLE,HARRASSMENT2,INTOXICATED&IMPAIREDDRIVING,MISCELLANEOUSPENALLAW,OFFAGNSTPUBORDSENSBLTY,OFFENSESAGAINSTPUBLICADMINI,OFFENSESAGAINSTTHEPERSON,OFFENSESINVOLVINGFRAUD,OTHEROFFENSESRELATEDTOTHEF,PETITLARCENY,POSSESSIONOFSTOLENPROPERTY,ROBBERY,THEFTFRAUD,UNAUTHORIZEDUSEOFAVEHICLE,VEHICLEANDTRAFFICLAWS,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Private room,55,1,32,2019,3.81,1,0,1,11234,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40.661-73.994,40.661,Brooklyn,Sunset Park,Entire home/apt,150,10,8,2018,0.17,2,176,10,11234,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.661-73.994,40.661,Brooklyn,Sunset Park,Entire home/apt,159,30,8,2018,0.81,2,51,10,11234,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.661-73.994,40.661,Brooklyn,Sunset Park,Entire home/apt,200,4,1,2016,0.03,1,0,10,11234,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,75,5,0,2019,0,1,0,2,11234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,130,7,1,2015,0.02,1,0,2,11234,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,50,4,1,2017,0.04,1,0,2,11234,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,69,3,16,2019,0.59,1,6,2,11234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,16,0,2019,0,1,0,3,11234,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,7,8,2019,0.58,1,4,3,11234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.662-73.962,40.662,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,130,30,0,2019,0,1,129,2,11234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.663-73.985,40.663,Brooklyn,South Slope,Entire home/apt,180,30,84,2019,1.7,1,204,7,11234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40.663-73.985,40.663,Brooklyn,South Slope,Entire home/apt,175,1,2,2017,0.07,2,0,8,11234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.663-73.985,40.663,Brooklyn,South Slope,Private room,50,1,19,2017,0.71,1,0,8,11234,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.663-73.985,40.663,Brooklyn,South Slope,Entire home/apt,119,3,6,2019,4.86,1,45,8,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.664-73.99,40.664,Brooklyn,South Slope,Private room,63,4,65,2019,1.34,1,290,4,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
